in:Values,out:p1,out:p2,out:p3,out:p4,out:ResponseFactor,out:Frequency01,out:Frequency02,out:Frequency03,out:ABS Elastic Deflections,,
55,7.282,10.91605,6.53335,0.240865,3.114282,4.905738,4.924218,5.05148,0.008476,,
56,5.7348,7.85145,11.33115,0.356905,1.834729,4.261127,4.268823,5.363327,0.007494,,
57,9.8156,8.53185,5.81585,0.269845,2.550545,5.34162,5.354252,6.750725,0.004822,,
58,4.5228,10.60665,9.77925,0.227545,2.941597,4.629582,4.63212,4.702495,0.013127,,
59,8.186,9.93045,8.64805,0.293425,1.621784,4.223006,4.226211,5.224524,0.009478,,
60,2.2748,7.54695,6.78395,0.295765,1.576393,6.720695,6.724245,8.377511,0.002378,,
61,7.418,10.75715,7.69255,0.185695,3.747702,4.404445,4.700643,4.768109,0.014008,,
62,4.4644,7.37545,7.12485,0.350095,1.207846,5.807566,5.808434,7.293237,0.00244,,
63,4.0396,11.96885,6.92745,0.303775,1.811005,4.847654,4.863936,5.293738,0.007402,,
64,9.794,11.32905,7.23055,0.204535,1.809434,4.070554,4.353696,4.369765,0.014541,,
65,6.5292,8.51225,8.16785,0.385285,2.039786,4.624834,4.625653,5.841477,0.004169,,
66,7.4308,9.17585,5.14175,0.357265,0.968153,5.501627,5.518651,6.957939,0.003458,,
67,2.2124,11.48165,10.86145,0.137575,8.53636,3.775731,3.795088,3.80056,0.024237,,
68,6.5756,7.28935,6.51375,0.169375,6.093987,6.579914,6.585984,7.322364,0.005581,,
69,2.9756,10.61225,6.78465,0.251665,3.731958,5.733679,5.750632,6.191527,0.005769,,
70,4.262,7.84865,11.07635,0.392905,1.764263,4.400111,4.406871,5.558247,0.005842,,
71,4.302,6.04965,6.25895,0.132655,12.288918,8.466001,8.468731,9.155376,0.00406,,
72,2.3316,10.49745,5.56105,0.134395,9.379174,6.955368,7.51408,7.528248,0.005482,,
73,4.3244,10.24755,7.45035,0.292825,1.767445,5.081696,5.09077,6.081944,0.006118,,
74,8.4996,8.12095,8.05305,0.266215,3.120571,4.879161,4.879431,6.152372,0.006737,,
75,2.0788,10.89225,10.49815,0.337765,2.003169,4.389927,4.390726,5.509974,0.008253,,
76,8.45,8.30995,7.20465,0.111655,9.835528,4.354956,4.382066,4.392209,0.018461,,
77,9.0924,5.98875,11.13515,0.193975,2.312058,4.675891,4.926635,4.955022,0.010204,,
78,4.2724,7.62815,7.12555,0.252325,3.828624,6.262206,6.264818,7.8279,0.003711,,
79,8.3268,7.74575,7.61135,0.256825,3.007858,5.195151,5.195766,6.544952,0.005837,,
80,9.2644,9.47475,11.18555,0.251275,2.130697,3.793767,3.797769,3.896288,0.017362,,
81,5.2916,8.12865,8.68445,0.212695,4.23386,5.491493,5.493959,6.124801,0.007775,,
82,8.9132,8.07825,10.52755,0.351775,1.327795,3.998541,4.003688,5.067236,0.008093,,
83,8.0508,8.78805,7.51615,0.373105,1.337507,4.579565,4.582654,5.792747,0.004449,,
84,7.5828,7.25855,5.22295,0.235885,2.209345,6.671292,6.685328,8.372537,0.002939,,
85,8.8852,7.22635,6.71955,0.299815,2.647382,5.457683,5.459673,6.881592,0.003483,,
86,4.3788,5.93625,9.54755,0.246565,2.982678,6.086226,6.105991,6.941296,0.004486,,
87,5.0396,6.11615,9.08485,0.173125,4.980486,6.439145,6.461266,6.549147,0.00607,,
88,2.6196,9.14085,5.90125,0.249535,2.222712,6.726031,6.745025,7.983925,0.003441,,
89,2.7988,11.89745,7.29355,0.384175,1.584592,4.64327,4.654306,5.858777,0.00589,,
90,5.7796,10.71235,5.21245,0.169915,3.717506,5.864732,6.143458,6.190701,0.006497,,
91,4.7004,9.05685,11.20445,0.179815,4.841712,4.260857,4.428426,4.604651,0.016349,,
92,6.2484,8.31135,10.84675,0.339025,1.493135,4.228603,4.234194,5.343838,0.007961,,
93,8.1428,8.28685,9.39985,0.263545,2.070937,4.53212,4.535493,5.412614,0.009039,,
94,2.006,7.04365,7.85285,0.280285,1.838772,6.667584,6.671319,8.301243,0.002785,,
95,9.9268,10.80685,10.61365,0.340825,1.621314,3.388954,3.389262,4.297224,0.014208,,
96,3.17,6.24005,9.14575,0.280585,1.875762,6.194806,6.208475,7.756272,0.003587,,
97,5.1548,8.10695,5.74865,0.312415,0.953618,6.166356,6.177339,7.747543,0.002661,,
98,6.27,7.55115,9.53005,0.256495,2.273781,5.032273,5.039438,5.837173,0.007258,,
99,2.3788,7.92845,10.93495,0.266875,2.356045,5.319392,5.329725,5.853735,0.006802,,
100,2.5196,10.76905,10.62065,0.204445,4.494989,4.765283,4.819479,4.927839,0.013762,,
101,6.946,8.67885,8.75375,0.345475,2.00401,4.494473,4.494672,5.675363,0.005707,,
102,2.3924,7.45875,7.34325,0.262105,2.132966,6.716808,6.717387,8.35577,0.002948,,
103,8.9804,7.22355,10.57585,0.390685,1.287553,4.105211,4.112401,5.20815,0.006388,,
104,7.2108,11.16175,9.54055,0.386515,1.008954,3.669577,3.672052,4.647639,0.009338,,
105,8.5932,11.77215,11.35355,0.132265,18.883066,2.328299,2.344424,2.345069,0.063006,,
106,4.3228,11.24295,5.72765,0.234085,2.693178,5.744131,5.775527,5.848504,0.006298,,
107,4.2332,6.78255,6.78325,0.386995,0.956959,6.062757,6.062759,7.614271,0.001668,,
108,6.3932,10.63885,8.69985,0.330655,1.390602,4.183778,4.188025,5.285728,0.008486,,
109,7.5644,7.31035,5.32725,0.106375,12.322387,6.588078,6.747901,6.895579,0.007365,,
110,4.1308,11.12605,10.34415,0.237805,2.774935,4.426686,4.428813,4.502489,0.014308,,
111,6.7516,8.26095,5.52745,0.128515,11.55455,6.500797,6.824748,6.866836,0.007155,,
112,9.9244,8.05935,11.80995,0.360865,1.554825,3.659425,3.666397,4.470272,0.01062,,
113,2.8548,7.27535,9.05125,0.195505,4.962987,6.472012,6.482334,6.884884,0.005692,,
114,9.8996,7.85425,8.30365,0.284965,2.500411,4.637087,4.638508,5.8604,0.006751,,
115,8.61,9.69945,7.23755,0.208195,2.637945,4.880353,4.89115,5.00579,0.010172,,
116,7.8764,9.40965,6.38495,0.312325,2.104392,4.997088,5.007667,6.314363,0.0051,,
117,6.6092,5.01575,5.47915,0.273685,1.203863,7.836181,7.839799,9.7879,0.001216,,
118,3.7068,10.33575,6.75105,0.289225,2.850259,5.441057,5.45469,6.398169,0.005223,,
119,7.6244,6.84555,7.92565,0.273265,2.368538,5.460233,5.464729,6.875689,0.004484,,
120,2.2884,5.17745,6.68245,0.332515,0.753368,7.800535,7.809523,9.714875,0.00111,,
121,2.0372,8.47515,6.09655,0.145015,12.782225,8.151661,8.1763,8.273535,0.004324,,
122,3.0308,10.70885,9.19125,0.225355,3.610567,5.093764,5.098949,5.186761,0.010213,,
123,5.126,8.54865,6.88545,0.313315,1.6017,5.521175,5.527244,6.943627,0.003795,,
124,7.1708,5.23695,7.01215,0.248515,1.323789,6.807181,6.819138,8.537001,0.002529,,
125,9.9212,5.94675,5.71715,0.139255,7.601683,7.02721,7.029796,7.87562,0.00534,,
126,7.3116,10.78165,6.67125,0.192415,2.647625,4.838301,5.0756,5.096525,0.01035,,
127,8.218,10.52265,5.00805,0.347935,1.087465,5.09712,5.121025,6.299386,0.005222,,
128,6.6268,5.53865,9.80865,0.113545,9.864502,5.454456,5.712529,6.019206,0.010203,,
129,9.0052,8.16085,7.99075,0.213445,3.022649,4.993829,4.994514,5.760617,0.009055,,
130,3.438,6.11055,6.83015,0.143485,11.77155,8.348188,8.356419,9.113775,0.003839,,
131,8.6932,10.16355,5.45955,0.356575,0.994831,4.906586,4.923784,6.22118,0.005014,,
132,9.0068,9.04075,6.81405,0.379315,1.443585,4.599534,4.605287,5.825081,0.004299,,
133,2.3244,10.62695,11.87925,0.150655,7.116172,3.893569,3.915859,3.947561,0.022349,,
134,4.6524,8.89725,7.57495,0.304585,1.940562,5.296602,5.300983,6.656713,0.004685,,
135,8.6236,7.53925,9.90035,0.161875,5.886976,4.398156,4.585881,4.810093,0.015432,,
136,6.9452,7.28795,6.50745,0.384895,0.850163,5.513137,5.515708,6.952417,0.002168,,
137,2.5764,7.24105,10.43585,0.160705,8.427149,5.901347,6.23355,6.407459,0.008069,,
138,9.102,6.85185,10.36795,0.238405,2.26786,4.663539,4.677143,4.884345,0.009529,,
139,6.0716,9.77785,10.39175,0.288745,1.749775,4.174119,4.175556,5.014966,0.011118,,
140,5.5348,10.92305,10.70465,0.134185,5.070946,3.099056,3.116092,3.116317,0.0358,,
141,9.146,7.00725,10.26505,0.382795,1.387175,4.230243,4.237788,5.36508,0.00589,,
142,3.57,10.70045,6.10425,0.282415,2.399849,5.655868,5.676336,6.366329,0.005234,,
143,4.5388,10.00745,9.36695,0.309895,2.107795,4.507118,4.508632,5.671352,0.007924,,
144,2.1204,6.45425,9.70435,0.312085,1.760227,5.995526,6.008639,7.508501,0.003536,,
145,5.6644,11.53975,9.54615,0.273325,1.585752,4.114197,4.118764,4.393691,0.013224,,
146,3.0268,5.22715,8.26865,0.123115,12.230322,8.441971,8.543095,8.5855,0.004024,,
147,7.1028,9.91155,7.15495,0.115315,8.046779,4.181158,4.227362,4.275126,0.019315,,
148,5.7852,7.08285,5.14315,0.161995,3.587991,7.74291,7.764021,8.876784,0.003333,,
149,4.038,10.09705,10.79145,0.356995,1.616536,4.095261,4.096519,5.161732,0.008511,,
150,9.0412,7.18505,5.38535,0.351565,0.669836,5.865277,5.873006,7.400321,0.002063,,
151,7.2996,5.96355,8.53955,0.200605,3.58555,5.995286,6.011773,6.594288,0.005637,,
152,6.1188,9.74075,7.72545,0.102445,11.005067,3.746199,3.75983,3.761221,0.025946,,
153,9.5484,11.92545,11.03645,0.118615,14.998487,2.070552,2.084519,2.089117,0.080991,,
154,5.254,8.68795,5.13545,0.242875,2.169372,6.61489,6.63905,7.874405,0.003507,,
155,8.4252,8.32955,9.03165,0.322825,1.95718,4.393211,4.394989,5.553309,0.006765,,
156,6.8276,8.29105,9.42155,0.295675,2.067929,4.606559,4.609746,5.809054,0.007236,,
157,9.4412,8.04745,11.55865,0.234565,1.567386,3.949691,4.057648,4.068101,0.015341,,
158,7.8372,9.07365,9.35155,0.109315,6.564137,3.157994,3.170105,3.170465,0.035469,,
159,9.958,11.27445,7.38875,0.340285,1.638275,3.947744,3.956577,4.768496,0.009246,,
160,3.2212,9.89755,10.27065,0.192235,4.539882,4.902524,4.973752,5.057632,0.01313,,
161,8.1852,9.32635,6.83855,0.327865,2.032193,4.766933,4.774481,6.026989,0.005245,,
162,4.142,8.57385,5.94605,0.184615,5.163323,6.921706,6.941873,7.446863,0.004568,,
163,8.234,7.81085,7.10665,0.290395,2.380404,5.240125,5.242783,6.606652,0.004468,,
164,7.1484,9.05545,10.16005,0.141775,5.298823,3.696998,3.727786,3.745797,0.02462,,
165,3.3324,11.28565,10.84045,0.359185,1.507113,3.961003,3.961734,4.98915,0.009708,,
166,3.3252,8.73625,8.65435,0.294385,3.011808,5.326453,5.326739,6.673681,0.005156,,
167,3.1108,9.93255,11.56215,0.350935,1.481544,4.146612,4.149539,5.220552,0.008939,,
168,5.6276,6.74895,7.49865,0.200215,4.852825,6.444274,6.449094,7.688264,0.004786,,
169,2.1228,5.30205,5.67655,0.159025,3.998464,10.304967,10.310273,12.567821,0.001557,,
170,8.8668,7.29845,9.06875,0.345865,1.360327,4.54896,4.55366,5.75527,0.005229,,
171,3.8076,7.64425,7.56235,0.365485,1.210405,5.598424,5.598703,7.032825,0.002675,,
172,7.0084,10.98465,9.29905,0.375625,1.097084,3.794071,3.79693,4.802681,0.008901,,
173,8.2796,5.85155,9.54475,0.399205,0.967312,4.837717,4.84878,6.131091,0.003826,,
174,8.7396,6.85675,5.28875,0.112825,11.835849,6.825922,7.015126,7.186371,0.006763,,
175,6.5556,9.22625,5.01575,0.297895,1.231204,5.925425,5.94821,7.456298,0.003814,,
176,8.5772,9.69035,7.83955,0.342745,1.246412,4.29265,4.297073,5.433405,0.006631,,
177,8.9156,6.29605,7.54205,0.339115,1.24048,5.373368,5.377974,6.784817,0.002964,,
178,6.378,9.69805,9.77225,0.172345,4.459409,4.17765,4.215134,4.267486,0.018601,,
179,8.8228,7.56445,9.43625,0.131335,6.019357,4.10751,4.1678,4.221489,0.019742,,
180,5.8468,5.50295,11.04905,0.286285,2.058181,5.332942,5.359334,5.84901,0.006201,,
181,3.2956,10.01515,9.05265,0.171205,4.412424,5.066501,5.21333,5.253091,0.012267,,
182,6.7884,8.12165,11.84985,0.254455,1.678714,4.275803,4.28652,4.307619,0.0124,,
183,2.0012,5.17395,9.43345,0.399325,0.724877,6.225048,6.243124,7.829008,0.002302,,
184,2.7604,7.10455,11.40115,0.382495,1.733477,4.819641,4.830615,6.07753,0.005197,,
185,5.7452,10.57165,10.56885,0.336985,1.581676,3.879842,3.879846,4.898137,0.010692,,
186,3.9556,7.56655,5.73325,0.247915,1.628025,7.083508,7.095297,8.839895,0.002602,,
187,3.2444,5.52395,10.44635,0.368815,1.058246,5.620543,5.639986,7.088594,0.003732,,
188,7.4156,5.50085,7.86405,0.264175,1.997178,6.154378,6.167657,7.743401,0.003283,,
189,9.3988,8.92175,11.56285,0.222175,2.491873,3.677267,3.901813,3.909136,0.019333,,
190,9.8236,7.45805,11.31015,0.261055,1.571787,4.133485,4.144902,4.28735,0.012132,,
191,3.4148,5.65625,10.42955,0.254965,2.074873,6.127114,6.153968,6.713766,0.004712,,
192,6.7924,5.75005,8.67885,0.214675,5.083609,6.086719,6.105222,6.837277,0.004957,,
193,2.6716,5.44065,9.40195,0.175465,3.380853,7.473649,7.510084,7.726303,0.003936,,
194,8.6348,10.02425,5.50155,0.322015,1.393321,5.0364,5.054625,6.251596,0.005334,,
195,8.1636,9.56435,10.74245,0.376615,1.12943,3.663643,3.665529,4.64193,0.009483,,
196,2.4372,7.88715,8.94135,0.263605,3.153617,5.909999,5.91424,7.373469,0.004702,,
197,6.7044,10.25315,10.17545,0.229375,3.340509,4.230522,4.230692,4.362923,0.015851,,
198,8.0252,5.88095,10.08025,0.234775,2.541226,5.261183,5.282469,5.602017,0.006869,,
199,3.6012,10.54715,7.69185,0.276715,2.120425,5.152132,5.161721,5.886009,0.00667,,
200,9.4948,5.93345,7.65475,0.315235,1.619955,5.482388,5.489542,6.923733,0.003198,,
201,2.6564,7.59105,9.86045,0.236485,3.108862,5.84525,5.85516,6.46221,0.00599,,
202,4.7156,6.22185,7.34535,0.235045,2.732781,6.792167,6.79906,8.480416,0.0031,,
203,8.9532,11.99405,5.76895,0.375265,1.214671,4.30714,4.326068,5.109157,0.007793,,
204,3.2484,10.79145,9.17235,0.238525,3.05506,4.953325,4.958568,5.176174,0.010038,,
205,3.3084,6.97785,8.79575,0.125995,10.471344,6.192704,6.325284,6.447061,0.008571,,
206,2.8396,6.00695,5.46655,0.326905,0.977164,7.881227,7.884408,9.806958,0.000997,,
207,6.5588,5.48685,11.94995,0.318445,1.905071,4.884557,4.911386,5.351633,0.007234,,
208,6.8468,5.55195,6.70275,0.340345,0.814568,6.404243,6.409733,8.054072,0.001689,,
209,6.0508,7.85285,11.04065,0.203395,2.942249,4.590838,4.833886,4.846759,0.012289,,
210,5.4972,9.36555,11.30525,0.131755,5.71875,3.405987,3.418623,3.439101,0.029473,,
211,3.2892,11.61745,7.31315,0.324595,1.979359,4.855326,4.867747,5.64146,0.006509,,
212,6.214,9.31515,8.36035,0.309415,2.171443,4.658009,4.660588,5.870973,0.006526,,
213,2.6612,5.37205,11.17995,0.138895,5.244407,6.607177,7.162054,7.225232,0.005557,,
214,6.6948,6.89735,10.84815,0.100375,8.76638,3.807384,3.83518,3.853583,0.0237,,
215,8.2332,6.90225,6.91905,0.154435,6.104883,6.245055,6.245164,6.632702,0.007254,,
216,5.2076,5.06755,7.41045,0.213985,1.662563,7.426505,7.446276,9.270692,0.002636,,
217,2.3116,5.16275,5.39445,0.256795,1.440717,9.354064,9.356145,11.528611,0.000869,,
218,8.2044,7.99005,6.99465,0.224485,3.74556,5.476342,5.481271,6.657778,0.006106,,
219,6.2892,11.39135,7.05905,0.119935,7.047105,4.082653,4.173151,4.295715,0.01907,,
220,5.1892,7.97885,9.27525,0.179425,5.284588,5.43529,5.565942,5.572721,0.010089,,
221,6.2316,7.56305,7.58895,0.398245,0.997608,5.082005,5.08206,6.412989,0.002797,,
222,4.366,11.44105,10.13625,0.173035,4.119093,3.871021,3.948599,3.996609,0.021288,,
223,5.5364,5.40355,8.71245,0.111775,13.412205,6.482176,6.754349,7.086053,0.007126,,
224,4.894,7.57285,9.85345,0.195595,4.471726,5.494711,5.510888,5.522057,0.008978,,
225,8.9476,6.39265,11.46415,0.327925,1.373425,4.32941,4.344561,4.989882,0.008377,,
226,8.226,5.82145,5.26495,0.293905,1.094193,6.976173,6.979713,8.752863,0.0015,,
227,6.098,6.77065,5.64435,0.176275,6.129538,7.394557,7.404946,8.892868,0.003541,,
228,5.554,8.39045,5.22015,0.306685,1.200733,6.275837,6.292391,7.891928,0.00275,,
229,8.3036,7.22705,11.65945,0.397705,1.136126,3.953595,3.962638,5.019173,0.007662,,
230,8.99,5.22435,6.23095,0.236305,1.548115,6.885674,6.893012,8.638167,0.002338,,
231,7.9116,5.08995,8.11885,0.181915,6.084996,6.569609,6.595994,7.255189,0.004522,,
232,6.6076,8.92595,5.85225,0.324445,1.450341,5.50614,5.518416,6.946571,0.003674,,
233,6.5708,5.97195,8.72785,0.390745,1.178738,5.278678,5.28754,6.669107,0.002872,,
234,7.0068,8.04045,9.82475,0.115795,8.244929,3.748808,3.763349,3.776442,0.025247,,
235,7.5988,7.87245,5.49245,0.281665,1.884623,6.044035,6.056496,7.611111,0.003125,,
236,5.2292,6.67265,9.82335,0.108445,11.774747,4.823891,4.893393,4.962349,0.014572,,
237,4.3236,11.28705,5.78715,0.227695,2.802475,5.74353,5.767866,5.775243,0.006492,,
238,9.0716,7.81645,9.47755,0.382525,1.192526,4.18988,4.193388,5.308536,0.005614,,
239,7.4636,7.94105,11.50825,0.384565,1.377483,3.923338,3.930136,4.97375,0.008023,,
240,8.678,7.92145,9.14645,0.320305,1.809306,4.448458,4.451654,5.624747,0.006556,,
241,7.87,11.87225,8.87765,0.342025,1.031076,3.720747,3.726191,4.443968,0.011449,,
242,7.2916,5.19005,8.10065,0.228475,2.194184,6.421247,6.441471,7.806053,0.003659,,
243,2.2004,9.72325,5.35945,0.298915,1.749312,6.568342,6.592227,8.111188,0.003176,,
244,7.5812,5.08435,9.80305,0.209815,2.972017,5.88962,5.92341,6.171102,0.005693,,
245,3.6204,6.23585,6.98695,0.278365,1.551552,6.980842,6.984979,8.708947,0.002153,,
246,5.1532,6.78465,9.81005,0.331315,2.392639,5.102473,5.112114,6.432573,0.004706,,
247,4.886,5.39585,10.52825,0.116575,7.871999,5.89442,6.27336,6.627619,0.007973,,
248,3.8428,11.80575,5.77175,0.203065,3.277969,5.60448,5.873549,5.912733,0.006873,,
249,8.138,9.37605,6.78045,0.280645,1.755377,4.933318,4.94261,6.05759,0.006201,,
250,6.5044,11.90585,10.05015,0.363985,0.973852,3.588065,3.590855,4.540672,0.011786,,
251,3.8436,9.75125,9.79255,0.165655,6.401507,4.675122,4.710474,4.763144,0.015107,,
252,3.0332,10.90835,6.09935,0.316375,1.401971,5.543517,5.562701,6.536124,0.004902,,
253,5.8916,7.50635,6.89875,0.275215,3.075061,5.909137,5.911982,7.417671,0.003577,,
254,4.1788,9.58255,7.55045,0.105805,15.173079,4.53943,4.55596,4.562842,0.017636,,
255,2.4268,8.63335,9.17795,0.359935,2.269944,5.074566,5.075884,6.369927,0.004233,,
256,9.2164,6.23725,11.82395,0.308005,1.337623,4.328926,4.347127,4.718737,0.009357,,
257,3.3452,5.76335,10.35115,0.250585,2.185286,6.148841,6.174497,6.709747,0.004728,,
258,2.1772,5.12775,11.12605,0.111865,10.106223,7.084198,7.628572,7.841116,0.005248,,
259,4.314,6.35485,10.39735,0.106045,9.876827,5.153378,5.265425,5.39286,0.012655,,
260,5.934,10.86425,8.92245,0.246235,2.06773,4.439169,4.444832,4.652411,0.012041,,
261,2.45,5.94465,11.00565,0.254395,2.27563,6.085352,6.112265,6.500114,0.005059,,
262,8.0388,10.22795,5.56385,0.210415,2.771019,5.448103,5.476431,5.532568,0.007133,,
263,3.0052,5.79625,8.08385,0.305815,1.059381,6.708619,6.72014,8.390776,0.002301,,
264,5.9428,6.12315,7.28165,0.217195,3.94865,6.65394,6.661635,8.321775,0.003587,,
265,6.7684,10.23075,7.86335,0.136435,6.257378,4.144625,4.220504,4.313142,0.019108,,
266,3.3484,5.81305,11.00005,0.244195,2.8521,5.964013,5.992972,6.251673,0.005497,,
267,6.2036,7.17595,10.29165,0.394075,1.620221,4.487039,4.49424,5.676466,0.004985,,
268,4.7732,5.69825,10.43095,0.142105,6.972704,5.909505,6.379701,6.457277,0.007514,,
269,8.6116,6.53615,9.43415,0.293965,2.444841,4.890602,4.900928,6.144781,0.005823,,
270,5.2732,7.73245,6.36535,0.171265,6.726806,6.81129,6.822072,7.39878,0.005256,,
271,6.9692,11.57545,10.33505,0.325105,1.601789,3.638725,3.640808,4.359367,0.01376,,
272,9.582,9.05405,6.04405,0.365875,1.087732,4.833977,4.843377,6.124248,0.004092,,
273,9.2004,7.77725,6.86305,0.376045,1.636643,4.929149,4.931801,6.234339,0.003171,,
274,3.4948,9.36765,9.71555,0.126835,10.561723,4.303026,4.32425,4.329962,0.018911,,
275,5.8188,9.80515,8.11815,0.187795,4.484717,5.02135,5.1783,5.186021,0.011473,,
276,6.338,11.28915,5.60445,0.259165,2.027406,5.251986,5.280389,5.468041,0.007149,,
277,8.37,6.83645,5.43785,0.284365,1.066692,6.362547,6.370417,8.001817,0.002336,,
278,7.0476,9.68825,8.32815,0.372895,1.288734,4.266665,4.269557,5.395752,0.005955,,
279,4.9324,10.81035,8.90425,0.336295,1.484365,4.286588,4.290663,5.406678,0.008033,,
280,9.4212,9.48385,6.84555,0.310015,2.079677,4.619352,4.627493,5.846169,0.006243,,
281,4.6284,11.88695,11.39485,0.322315,1.737659,3.706645,3.707438,4.406854,0.014336,,
282,5.2908,5.69335,7.22215,0.305185,1.022932,6.577207,6.585077,8.248556,0.002099,,
283,6.2332,11.78825,9.63575,0.185875,3.410814,3.652706,3.78553,3.921795,0.022446,,
